componentID, timeInSystem
root( delay_capacity = 2 ), 1.89
root( delay_capacity = 2 ), 2.10
root( delay_capacity = 2 ), 2.20
root( delay_capacity = 2 ), 1.76
root( delay_capacity = 2 ), 1.89
root( delay_capacity = 2 ), 1.36
root( delay_capacity = 2 ), 1.69
root( delay_capacity = 2 ), 2.95
root( delay_capacity = 2 ), 1.83
root( delay_capacity = 2 ), 2.39
root( delay_capacity = 2 ), 2.13
root( delay_capacity = 2 ), 2.69
root( delay_capacity = 2 ), 0.96
root( delay_capacity = 2 ), 1.92
root( delay_capacity = 2 ), 1.05
root( delay_capacity = 2 ), 1.68
root( delay_capacity = 2 ), 1.41
root( delay_capacity = 2 ), 2.04
root( delay_capacity = 2 ), 2.92
root( delay_capacity = 2 ), 3.51
root( delay_capacity = 2 ), 0.72
root( delay_capacity = 2 ), 1.38
root( delay_capacity = 2 ), 0.87
root( delay_capacity = 2 ), 1.25
root( delay_capacity = 2 ), 2.37
root( delay_capacity = 2 ), 2.07
root( delay_capacity = 2 ), 1.28
root( delay_capacity = 2 ), 1.83
root( delay_capacity = 2 ), 1.48
root( delay_capacity = 2 ), 0.85
root( delay_capacity = 2 ), 1.12
root( delay_capacity = 2 ), 1.87
root( delay_capacity = 2 ), 1.92
root( delay_capacity = 2 ), 1.16
root( delay_capacity = 2 ), 1.86
root( delay_capacity = 2 ), 2.93
root( delay_capacity = 2 ), 2.74
root( delay_capacity = 2 ), 3.47
root( delay_capacity = 2 ), 2.85
root( delay_capacity = 2 ), 2.23
root( delay_capacity = 2 ), 1.38
root( delay_capacity = 2 ), 0.88
root( delay_capacity = 2 ), 0.76
root( delay_capacity = 2 ), 2.50
root( delay_capacity = 2 ), 1.94
root( delay_capacity = 2 ), 3.20
root( delay_capacity = 2 ), 1.64
root( delay_capacity = 2 ), 1.21
root( delay_capacity = 2 ), 2.00
root( delay_capacity = 2 ), 1.87
root( delay_capacity = 2 ), 1.19
root( delay_capacity = 2 ), 1.11
root( delay_capacity = 2 ), 1.42
root( delay_capacity = 2 ), 1.71
root( delay_capacity = 2 ), 2.22
root( delay_capacity = 2 ), 2.00
root( delay_capacity = 2 ), 2.61
root( delay_capacity = 2 ), 3.48
root( delay_capacity = 2 ), 2.00
root( delay_capacity = 2 ), 1.93
root( delay_capacity = 2 ), 0.61
root( delay_capacity = 2 ), 2.02
root( delay_capacity = 2 ), 1.75
root( delay_capacity = 2 ), 0.73
root( delay_capacity = 2 ), 1.97
root( delay_capacity = 2 ), 2.52
root( delay_capacity = 2 ), 3.44
root( delay_capacity = 2 ), 2.29
root( delay_capacity = 2 ), 0.98
root( delay_capacity = 2 ), 1.14
root( delay_capacity = 2 ), 1.26
root( delay_capacity = 2 ), 1.52
root( delay_capacity = 2 ), 2.06
root( delay_capacity = 2 ), 1.11
root( delay_capacity = 2 ), 0.64
root( delay_capacity = 2 ), 1.69
root( delay_capacity = 2 ), 1.41
root( delay_capacity = 2 ), 1.24
root( delay_capacity = 2 ), 1.27
root( delay_capacity = 2 ), 2.05
root( delay_capacity = 2 ), 2.70
root( delay_capacity = 2 ), 1.75
root( delay_capacity = 2 ), 1.88
root( delay_capacity = 2 ), 1.16
root( delay_capacity = 2 ), 2.01
root( delay_capacity = 2 ), 2.88
root( delay_capacity = 2 ), 2.35
root( delay_capacity = 2 ), 2.99
root( delay_capacity = 2 ), 2.43
root( delay_capacity = 2 ), 2.99
root( delay_capacity = 2 ), 3.92
root( delay_capacity = 2 ), 4.30
root( delay_capacity = 2 ), 4.94
