agentID, delayTime
CA0012,   612.02
CA0011,   604.82
CA0010,   602.91
CA0050,   604.52
EP0085, 21061.98
CA0009,   598.45
EP0081, 20618.61
CA0008,   605.52
EP0082, 20662.98
CA0007,   590.01
EP0083, 20876.58
CA0006,   598.08
EP0084, 20991.29
CA0005,   604.20
CA0049,   598.57
CA0004,   607.52
CA0048,   606.32
CA0003,   600.18
CA0047,   596.23
CA0002,   594.60
CA0046,   599.55
EP0080, 20468.01
CA0001,   593.87
CA0045,   602.32
CA0044,   605.05
CA0043,   606.85
CA0042,   598.55
CA0041,   596.61
CA0040,   591.36
EP0078, 20258.96
EP0079, 20379.34
EP0074, 19992.78
EP0075, 20049.60
EP0076, 20124.00
EP0077, 20176.90
EP0070, 19547.69
EP0071, 19646.81
EP0072, 19828.99
CA0039,   592.46
EP0073, 19921.11
CA0038,   591.93
CA0037,   608.64
CA0036,   595.86
CA0035,   595.54
CA0034,   595.75
CA0033,   605.19
CA0032,   602.58
CA0031,   604.34
CA0030,   597.88
EP0067, 19255.51
EP0068, 19310.15
EP0069, 19457.73
EP0063, 18720.96
EP0064, 18866.31
EP0065, 18957.87
EP0066, 19075.77
EP0060, 18268.41
CA0029,   592.48
EP0061, 18476.81
CA0028,   592.28
EP0062, 18578.72
CA0027,   597.66
CA0026,   602.78
CA0025,   600.53
CA0024,   594.60
CA0023,   591.06
CA0022,   601.80
CA0021,   597.32
CA0020,   599.88
EP0056, 17891.36
EP0057, 18015.90
EP0058, 18106.55
EP0059, 18161.45
EP0052, 17643.39
EP0053, 17722.61
EP0054, 17774.12
EP0055, 17832.28
CA0019,   600.77
CA0018,   597.23
CA0017,   598.51
EP0051, 17508.20
CA0016,   593.16
CA0015,   596.44
CA0014,   601.00
CA0013,   595.02
