station, endingStock, recipient
Lid Assembly, 367, Valve Assembly
Coil Winding, 443, Body Assembly
Plunger Assembly, 0, Valve Assembly
Rotor Assembly, 0, Valve Assembly
Body Assembly, 88, Valve Assembly
Valve Assembly, 2297, Valve Functional Test
Valve Functional Test, 1, Testbench
Testbench, 0, Electronics Preparation
Electronics Preparation, 74, Electronics Soldering
Electronics Soldering, 1, Power Consumption
Battery Assembly, 536, Electronics Preparation
Probe Assembly, 217, Electronics Preparation
Power Consumption, 0, Electronics NIDA
Electronics NIDA, 0, Clip Insertion
Clip Insertion, 1, Cover Assembly
Cover Assembly, 84, Meter to Manifold
Meter to Manifold, 0, Manifold Pressure Test
Manifold Preparation, 205, Manifold Assembly
Manifold Assembly, 899, Meter to Manifold
Manifold Pressure Test, 0, Manifold to Box
Manifold to Box, 0, Shipping
CIU Assembly, 501, Shipping
Shipping, 0, Dispatch
Dispatch, 0, Out
Product Out, 85, Product Out
