meterID, timeInSystem
CA0001, 517.85
CA0002, 576.32
CA0003, 524.21
CA0004, 574.30
CA0005, 516.22
CA0006, 577.86
CA0007, 514.34
CA0008, 568.51
CA0009, 523.91
CA0010, 570.34
CA0011, 533.71
CA0012, 564.16
CA0013, 518.57
CA0014, 556.67
CA0015, 516.51
CA0016, 557.73
CA0017, 518.23
CA0018, 560.67
CA0019, 530.36
CA0020, 560.13
CA0021, 514.31
CA0022, 535.26
CA0023, 518.85
CA0024, 543.85
CA0025, 523.82
CA0026, 540.27
CA0027, 523.61
CA0028, 547.94
CA0029, 522.61
CA0030, 540.67
CA0031, 520.54
CA0032, 543.70
CA0033, 520.08
CA0034, 539.62
CA0035, 524.59
CA0036, 554.16
CA0037, 516.44
CA0038, 544.35
CA0039, 515.14
CA0040, 557.41
CA0041, 519.26
CA0042, 568.78
CA0043, 513.03
CA0044, 556.83
CA0045, 523.57
CA0046, 559.96
CA0047, 517.55
CA0048, 553.73
CA0049, 518.36
CA0050, 551.19
CA0051, 531.18
CA0052, 567.54
CA0053, 521.57
CA0054, 557.58
CA0055, 527.46
CA0056, 557.41
CA0057, 520.59
CA0058, 555.75
CA0059, 528.51
CA0060, 570.17
CA0061, 526.24
CA0062, 567.78
CA0063, 519.41
CA0064, 574.11
CA0065, 527.07
CA0066, 580.67
CA0067, 505.74
CA0068, 578.20
CA0069, 519.91
CA0070, 582.64
CA0071, 512.65
CA0072, 581.76
CA0073, 522.99
CA0074, 580.43
CA0075, 513.26
CA0076, 575.51
CA0077, 512.61
CA0078, 565.56
CA0079, 525.42
CA0080, 575.70
CA0081, 520.40
CA0082, 572.77
CA0083, 531.86
CA0084, 572.22
CA0085, 524.29
CA0086, 574.47
CA0087, 526.74
CA0088, 564.71
CA0089, 511.17
CA0090, 563.26
CA0091, 530.78
CA0092, 568.96
CA0093, 519.56
CA0094, 563.16
CA0095, 518.64
CA0096, 563.36
CA0097, 521.06
CA0098, 571.48
CA0099, 518.33
CA0100, 558.71
EP0101, 17464.09
EP0102, 17224.24
EP0103, 17263.25
EP0104, 17041.80
EP0105, 17032.27
EP0106, 16804.51
EP0107, 16831.38
EP0108, 16650.75
EP0109, 16732.48
EP0110, 16510.07
EP0111, 16519.84
EP0112, 16319.67
EP0113, 16355.98
EP0114, 16172.82
EP0115, 16190.80
EP0116, 16024.57
EP0117, 16107.60
EP0118, 15908.88
EP0119, 15951.87
EP0120, 15755.44
EP0121, 15816.30
EP0122, 15607.58
EP0123, 15651.00
EP0124, 15449.98
EP0125, 15571.01
EP0126, 15392.83
EP0127, 15446.75
EP0128, 15241.70
EP0129, 15316.71
EP0130, 15136.84
EP0131, 15156.02
EP0132, 14982.68
EP0133, 15080.06
EP0134, 14910.89
EP0135, 14918.84
EP0136, 14714.83
EP0137, 14781.22
EP0138, 14573.06
EP0139, 14540.70
EP0140, 14367.03
EP0141, 14385.26
EP0142, 14232.18
EP0143, 14339.36
EP0144, 14142.44
EP0145, 14161.96
EP0146, 13962.76
EP0147, 14009.79
EP0148, 13828.41
EP0149, 13874.82
EP0150, 13688.75
VT0151, 25961.56
VT0152, 26016.35
VT0153, 26302.50
VT0154, 26345.02
VT0155, 26643.01
VT0156, 26687.57
VT0157, 26979.19
VT0158, 27025.90
VT0159, 27320.99
VT0160, 27376.80
VT0161, 27555.42
VT0162, 27623.07
VT0163, 27900.29
VT0164, 27944.04
VT0165, 28238.65
VT0166, 28257.15
VT0167, 28571.43
VT0168, 28623.57
VT0169, 28916.22
VT0170, 28957.91
