agentID, delayTime
MB0008, 376.78
MB0128, 4246.20
MB0004, 251.08
MB0246, 8055.20
MB0124, 4112.91
MB0006, 317.53
MB0248, 8118.92
MM0251, 19017.55
MB0126, 4178.70
MM0131, 10008.74
MB0242, 7928.73
MB0120, 3985.82
MB0002, 186.96
MB0244, 7992.99
MB0001, 153.80
MB0122, 4048.97
MB0240, 7866.42
MT0113, 7129.14
MT0233, 14548.59
MT0117, 7374.44
MT0237, 14793.69
MM0243, 18419.25
MM0123, 9409.71
MM0247, 18717.10
MM0127, 9711.49
MM0007, 684.68
MB0018, 698.36
MB0136, 4513.06
MB0014, 569.99
MB0256, 8375.44
MB0138, 4578.68
MB0016, 631.85
MB0258, 8440.36
MB0132, 4377.89
MB0010, 442.68
MB0252, 8249.16
MB0134, 4444.47
MT0009, 707.99
MB0012, 506.37
MB0254, 8312.50
MB0130, 4314.27
MB0250, 8187.06
MT0125, 7866.81
MM0239, 18118.98
MT0003, 330.76
MM0119, 9111.90
MT0245, 15289.88
MT0129, 8113.63
MT0249, 15536.37
MT0005, 456.69
MM0231, 17517.59
MM0111, 8511.60
MT0121, 7620.41
MM0235, 17819.36
MM0115, 8812.12
MT0241, 15043.51
MB0026, 953.78
MB0268, 8762.93
MM0271, 20518.75
MB0146, 4835.20
MM0151, 11506.63
MB0028, 1020.72
MM0031, 2492.45
MB0148, 4896.61
MB0022, 825.94
MB0264, 8634.30
MB0142, 4704.13
MB0024, 889.48
MB0266, 8697.22
MB0144, 4769.60
MB0260, 8504.83
MB0020, 762.29
MB0262, 8567.66
MB0140, 4642.07
MT0257, 16027.18
MT0013, 957.99
MT0133, 8359.80
MT0017, 1201.96
MT0137, 8606.23
MM0143, 10908.04
MM0023, 1891.25
MM0267, 20220.83
MM0147, 11209.88
MT0253, 15783.96
MM0027, 2189.76
MB0158, 5220.34
MB0036, 1279.77
MB0278, 9075.74
MB0038, 1343.48
MM0263, 19916.24
MB0154, 5088.10
MB0032, 1151.35
MB0274, 8949.38
MB0156, 5154.07
MB0034, 1215.49
MB0276, 9014.84
MB0150, 4957.88
MB0270, 8825.43
MB0152, 5022.06
MB0030, 1087.50
MB0272, 8886.20
MM0019, 1586.36
MT0025, 1696.97
MT0145, 9105.82
MT0265, 16525.55
MT0029, 1942.81
MT0149, 9355.80
MT0269, 16767.27
MM0011, 986.43
MM0255, 19315.85
MM0135, 10306.43
MM0015, 1288.83
MT0021, 1454.02
MT0141, 8853.33
MM0259, 19618.70
MM0139, 10609.16
MT0261, 16276.08
MB0048, 1670.99
MB0168, 5540.94
MB0044, 1541.76
MB0286, 9337.41
MB0164, 5409.82
MB0046, 1607.07
MB0288, 9403.77
MB0166, 5477.85
MB0040, 1410.05
MB0282, 9210.07
MB0160, 5281.42
MB0042, 1478.35
MB0284, 9276.53
MB0162, 5346.32
MT0037, 2435.74
MM0327, 24731.76
MT0157, 9853.59
MM0207, 15713.91
MT0277, 17261.25
MB0280, 9143.78
MT0033, 2188.63
MM0323, 24430.46
MT0153, 9606.66
MM0203, 15409.91
MT0273, 17013.85
MB0058, 1992.68
MB0176, 5795.36
MB0054, 1862.00
MB0296, 9667.41
MB0178, 5860.04
MB0056, 1923.91
MB0298, 9731.24
MB0172, 5668.06
MB0050, 1734.88
MB0292, 9536.17
MB0174, 5731.17
MB0052, 1798.76
MB0294, 9602.34
MT0169, 10596.27
MT0289, 18005.41
MB0170, 5605.47
MT0045, 2930.43
MB0290, 9472.77
MM0319, 24127.48
MT0049, 3176.64
MT0161, 10101.79
MT0281, 17507.59
MM0311, 23525.59
MT0165, 10349.74
MT0285, 17757.19
MT0041, 2681.85
MM0315, 23828.49
MB0066, 2253.42
MB0186, 6121.16
MB0068, 2316.40
MB0188, 6183.75
MB0062, 2120.96
MB0182, 5992.71
MB0064, 2188.24
MB0184, 6055.77
MM0107, 8208.69
MT0057, 3672.64
MB0060, 2057.83
MT0177, 11090.38
MB0180, 5926.06
MT0293, 18252.60
MM0223, 16912.24
MM0103, 7909.34
MT0297, 18506.79
MT0053, 3425.06
MT0173, 10842.87
MM0227, 17215.54
MB0198, 6511.29
MB0076, 2574.27
MB0078, 2637.36
MB0194, 6385.22
MB0072, 2443.79
MB0196, 6448.62
MB0074, 2508.86
MB0190, 6251.52
MT0069, 4413.77
MT0189, 11830.10
