agentID, delayTime
MN0016, 21713.18
MN0017, 21922.06
MN0014, 21286.06
MN0015, 21498.95
MN0012, 20856.74
MN0013, 21066.03
MN0010, 20427.54
MN0032, 25168.92
MN0011, 20645.48
MN0018, 22152.45
MN0019, 22367.46
MN0020, 22582.96
MN0005, 19358.75
MN0027, 24094.07
MN0006, 19584.07
MN0028, 24321.81
MN0003, 18936.43
MN0025, 23666.62
MN0004, 19143.13
MN0026, 23886.29
MN0001, 18508.66
MN0023, 23253.69
MN0002, 18712.30
MN0024, 23458.15
MN0021, 22805.31
MN0022, 23033.19
MN0009, 20212.68
MN0007, 19788.42
MN0029, 24530.28
MN0008, 19993.95
MN0030, 24744.91
MN0031, 24950.31
