agentID, delayTime
MN1348,   449.53
MN3209,   412.15
MN1103,   399.52
MN1543,   500.41
MN2753,   450.92
MN1660,   455.70
MN2111,   434.35
MN3368,   469.41
MN0735,   403.74
MN2639,   428.56
MN0612,   432.01
MN3571,   508.94
MN1230,   423.84
MN1472,   433.39
MN0182,   468.84
MN1953,   431.45
MN2525,   436.21
MN1798,   464.37
MN1874,   419.44
MN1995,   442.21
MN3419,   465.42
MN1598,   403.71
MN2243,   459.81
MN2808,   436.89
MN1916,   443.17
MN1838,   428.69
MN0309,   445.91
MN2926,   440.89
MN1715,   434.79
MN0989,   456.26
MN1757,   483.16
MN0866,   481.23
MN3260,   415.62
MN0797,   443.32
MN0677,   466.89
MN1049,   435.95
MN0433,   427.91
MN1169,   450.72
MN0551,   416.85
MN2411,   461.83
MN1288,   416.93
MN2696,   459.25
MN2299,   441.25
MN3466,   438.96
MN0117,   477.00
MN3155,   484.54
MN2583,   447.09
MN0246,   463.29
MN1411,   438.59
MN2148,   408.62
MN2467,   436.58
MN2982,   445.63
MN0927,   453.12
MN3037,   418.02
MN2869,   445.42
MN3315,   424.82
MN3515,   473.08
MN3089,   438.10
MN0371,   451.58
MN2033,   410.03
MN0493,   457.82
MN2351,   415.26
MN0051,   425.33
MN2072,   447.32
MN2193,   465.10
