agentID, delayTime
MN2357,   231.56
MN0970,   211.31
MN2476,   228.74
MN2112,   219.55
MN2918,   237.20
MN3321,   221.77
MN1948,   212.62
MN3207,   210.22
MN3290,   220.50
MN2767,   238.80
MN1434,   224.81
MN1796,   220.54
MN2247,   203.28
MN1311,   181.23
MN1034,   224.44
MN3178,   236.88
MN0748,   218.90
MN0505,   216.21
MN1713,   237.53
MN0228,   222.34
MN2009,   226.55
MN0909,   231.26
MN3065,   231.99
MN1163,   227.30
MN2890,   231.97
MN2092,   226.62
MN2734,   216.92
MN1402,   206.20
MN1885,   237.01
MN1002,   238.42
MN1928,   246.88
MN0718,   200.37
MN0319,   225.99
MN2858,   227.82
MN2978,   223.35
MN3151,   215.82
MN3394,   218.69
MN1098,   224.97
MN0600,   246.47
MN1776,   221.84
MN0289,   205.53
MN1533,   220.38
MN2226,   230.11
MN0169,   208.68
MN2621,   212.01
MN0441,   213.90
MN1255,   233.20
MN1133,   231.01
MN0044,   196.85
MN1374,   235.30
MN1817,   242.91
MN3036,   212.50
MN0846,   237.81
MN2506,   228.14
MN0568,   231.85
MN1657,   218.08
MN3560,   226.93
MN3440,   224.31
MN0690,   218.75
MN2593,   233.31
MN2071,   198.39
MN0412,   213.79
MN1469,   251.15
MN1502,   234.88
MN1864,   261.09
MN2678,   204.59
MN2799,   244.05
MN2710,   241.72
MN2950,   235.63
MN1067,   245.75
MN1221,   206.05
MN1341,   213.44
MN2034,   249.51
MN2155,   241.30
MN1906,   231.47
MN3488,   232.01
MN0658,   182.71
MN1627,   218.71
MN0813,   230.72
MN3007,   232.05
MN0535,   211.55
MN1988,   236.43
MN3094,   224.61
MN3370,   232.24
MN0260,   224.86
MN0381,   216.02
MN1194,   217.97
MN0940,   206.14
MN2327,   217.06
MN2447,   240.67
MN3418,   221.49
MN1596,   226.86
MN0142,   214.90
MN0780,   227.85
MN2200,   236.19
MN2562,   207.56
MN1756,   226.58
MN3537,   246.47
MN3262,   194.76
MN2052,   237.90
MN2173,   230.58
MN0633,   231.90
MN1687,   220.36
MN1841,   247.30
MN2534,   225.42
MN1565,   228.52
MN0353,   230.82
MN0474,   246.12
MN0079,   246.88
MN0112,   235.02
MN2652,   249.40
MN1287,   216.05
MN2134,   211.85
MN0198,   195.87
MN3464,   213.99
MN3585,   233.43
MN1969,   214.09
MN3346,   227.71
MN2417,   233.15
MN2300,   208.34
MN0880,   241.24
MN2386,   224.41
MN2827,   228.89
MN1737,   260.09
MN3512,   206.55
MN3239,   241.29
MN3121,   206.80
MN2273,   214.85
