agentID, delayTime
MN1546,   229.13
MN0336,   284.37
MN1028,   275.23
MN2876,   299.96
MN1268,   312.19
MN2632,   336.57
MN1146,   285.88
MN0296,   263.42
MN1661,   288.04
MN1782,   303.93
MN1829,   270.21
MN1309,   284.26
MN1427,   248.59
MN2484,   285.34
MN1393,   279.43
MN0180,   282.80
MN2008,   294.79
MN0862,   280.95
MN2125,   313.26
MN0229,   340.34
MN1955,   243.97
MN2526,   324.72
MN3063,   320.39
MN0074,   307.13
MN2252,   324.46
MN2373,   304.88
MN2096,   406.46
MN1887,   274.11
MN2976,   274.18
MN2216,   326.53
MN2336,   314.50
MN0950,   266.44
MN0793,   236.35
MN0673,   312.98
MN2058,   316.27
MN0715,   289.08
MN1805,   259.12
MN2183,   299.76
MN2589,   262.74
MN3277,   332.18
MN3157,   251.97
MN3314,   291.92
MN1933,   221.49
MN2747,   320.58
MN2908,   263.56
MN3441,   276.84
MN3562,   285.59
MN1225,   284.47
MN1621,   296.18
MN2556,   243.77
MN1862,   375.58
MN1069,   286.67
MN1982,   302.68
MN3124,   199.47
MN2835,   328.36
MN1107,   272.92
MN3098,   261.64
MN0262,   229.13
MN1470,   294.03
MN0388,   356.06
MN1752,   301.16
MN2445,   254.70
MN1354,   332.75
MN0143,   233.74
MN3411,   288.34
MN3533,   274.70
MN0823,   209.32
MN0549,   240.74
MN1912,   288.34
MN0426,   284.46
MN1514,   308.56
MN3380,   318.27
MN3023,   359.33
MN0031,   287.75
MN2293,   330.32
MN0630,   235.42
MN2413,   303.24
MN0477,   372.34
MN0596,   341.73
MN0991,   294.75
MN0110,   256.59
MN0517,   280.02
MN1726,   345.79
MN0912,   367.64
MN3349,   283.00
MN3503,   315.46
MN3472,   271.10
MN3199,   323.53
MN1579,   256.13
MN2941,   262.94
MN0760,   324.82
MN1695,   226.07
MN3233,   278.22
MN2708,   292.10
MN2154,   321.09
MN2671,   282.41
MN1185,   271.57
MN2790,   344.73
MN2030,   227.52
