agentID, delayTime
MN2217,   103.87
MN3505,   102.61
MN2315,   111.86
MN2953,   110.23
MN2435,   100.23
MN3529,   107.08
MN2279,   102.80
MN2378,   104.73
MN2750,   104.82
MN2650,   115.19
MN3224,   107.85
MN2813,   112.28
MN3327,   109.15
MN2713,   105.78
MN3405,   112.46
MN3427,   112.91
MN3292,    98.52
MN3194,   107.04
MN3077,    97.97
MN2781,   118.01
MN2502,   102.61
MN2865,   112.03
MN2986,   107.84
MN2468,   108.94
MN2565,   104.55
MN2620,   112.08
MN2840,   105.32
MN2344,   107.71
MN2685,   103.27
MN2244,   108.87
MN3112,   107.73
MN3376,   117.52
MN3356,   110.09
MN3016,   100.70
MN3138,   109.24
MN3556,   109.53
MN3579,   108.66
MN2406,   108.93
MN2527,   108.85
MN3459,   113.74
MN2889,   110.19
MN2922,   116.01
MN3161,   101.24
MN3480,   113.92
MN3041,   115.63
MN3261,   107.95
MN2590,   114.61
