agentID, delayTime
MN0610,   186.25
MN1667,   183.56
MN2239,   186.69
MN2998,   186.50
MN1149,   186.56
MN0455,   183.85
MN2356,   187.07
MN2598,   183.88
MN2113,   183.03
MN2475,   183.18
MN2199,   183.42
MN3046,   179.88
MN3168,   182.24
MN1827,   186.13
MN3567,   181.27
MN1945,   183.28
MN2759,   182.06
MN1305,   184.09
MN3451,   182.67
MN1709,   192.21
MN3331,   180.51
MN2880,   178.33
MN2081,   190.16
MN2404,   183.84
MN1435,   183.36
MN2524,   183.84
MN0586,   188.19
MN2644,   187.01
MN0741,   187.22
MN1278,   186.02
MN0068,   181.73
MN0222,   192.94
MN1794,   186.57
MN0506,   181.90
MN0869,   185.52
MN2806,   187.38
MN2927,   188.56
MN3214,   186.19
MN0196,   185.82
MN2098,   182.87
MN2131,   184.56
MN3307,   176.52
MN3428,   187.13
MN1489,   186.99
MN2974,   185.26
MN1762,   187.29
MN2334,   184.05
MN2455,   184.41
MN0431,   192.63
MN1640,   181.64
MN2179,   179.82
MN0274,   182.74
MN1122,   186.04
MN1927,   181.83
MN1409,   182.32
MN2619,   186.40
MN3389,   185.31
MN0714,   182.71
MN0558,   187.33
MN2735,   186.84
MN2856,   182.65
MN3548,   182.41
MN0041,   183.63
MN1252,   179.07
MN2220,   184.73
MN1097,   183.14
MN2063,   182.46
MN0841,   181.37
MN1777,   190.24
MN1810,   178.74
MN0325,   183.66
MN0688,   186.91
MN2501,   183.94
MN1895,   185.59
MN0969,   181.13
MN2903,   181.77
MN1537,   185.25
MN1019,   185.12
MN3285,   188.00
MN1383,   187.99
MN0171,   180.67
MN1743,   178.84
MN3528,   180.85
MN0377,   187.25
MN1588,   184.85
MN2831,   184.69
MN2952,   182.06
MN0532,   186.90
MN0893,   181.74
MN1860,   187.25
MN2310,   189.91
MN2430,   185.05
MN3489,   185.70
MN2715,   183.54
MN0018,   183.39
MN1229,   185.37
MN3371,   184.53
MN0818,   182.00
MN2163,   179.27
MN2284,   188.88
MN1073,   186.20
MN3092,   187.67
MN1513,   179.87
MN1358,   185.94
MN1996,   180.16
MN2689,   182.75
MN0663,   185.66
MN0147,   185.29
MN0301,   183.82
MN2045,   186.99
MN3410,   185.66
MN3258,   186.96
MN0944,   183.07
MN1911,   189.96
MN0789,   177.94
MN1877,   186.82
MN3021,   187.78
MN3142,   185.25
MN2570,   184.29
MN0996,   179.63
MN1203,   186.21
MN1961,   180.74
MN3508,   183.19
MN1045,   186.53
MN1562,   184.33
MN0352,   185.56
MN2012,   190.04
MN1729,   187.81
MN3587,   187.39
MN0636,   182.99
MN3469,   184.98
MN1844,   183.82
MN0919,   186.20
MN3351,   186.37
MN0482,   187.49
MN2261,   186.33
MN2381,   186.38
MN3190,   186.64
MN3070,   187.26
MN2028,   187.94
MN2545,   180.62
MN2665,   180.44
MN0120,   183.40
MN2145,   183.68
MN2783,   184.81
MN1176,   188.01
MN1330,   187.92
MN1693,   179.81
MN1616,   187.61
MN3237,   185.19
MN3117,   183.70
MN0249,   184.86
MN0403,   187.88
MN0766,   183.67
MN1977,   185.35
MN1461,   188.26
MN0094,   189.19
