agentID, delayTime
MN2777,   334.32
MN2997,   343.11
MN2731,   340.47
MN2254,   337.53
MN3420,   343.74
MN3304,   337.31
MN3348,   339.42
MN2516,   339.75
MN2559,   335.18
MN2911,   336.19
MN2955,   339.55
MN3526,   333.68
MN3490,   339.81
MN3175,   347.04
MN3132,   344.51
MN2341,   342.71
MN2385,   336.98
MN2822,   340.57
MN3456,   339.28
MN2429,   342.57
MN2604,   341.57
MN2648,   341.77
MN2867,   344.40
MN3082,   338.41
MN3381,   333.04
MN3042,   343.35
MN3263,   334.39
MN3220,   347.10
MN3561,   339.55
MN2296,   338.62
MN2472,   341.54
MN2692,   336.13
