agentID, delayTime
MN2899,    10.00
MN2810,    10.00
MN3409,    10.00
MN2332,    10.00
MN2375,    10.00
MN2551,    10.00
MN3521,    10.00
MN2857,    10.00
MN3449,    10.00
MN3075,    10.00
MN3592,    10.00
MN3296,    10.00
MN3033,    10.00
MN3210,    10.00
MN3254,    10.00
MN3375,    10.00
MN2462,    10.00
MN2682,    10.00
MN2943,    10.00
MN2289,    10.00
MN2421,    10.00
MN2640,    10.00
MN3553,    10.00
MN2508,    10.00
MN3337,    10.00
MN2769,    10.00
MN2989,    10.00
MN2724,    10.00
MN3120,    10.00
MN3483,    10.00
MN3165,    10.00
MN2594,    10.00
