agentID, delayTime
MN2712,   336.26
MN2237,   291.74
MN2795,   205.27
MN3366,   227.20
MN3443,   167.15
MN3566,   194.40
MN3523,   248.36
MN2879,   254.68
MN2999,   212.10
MN3096,   217.65
MN3250,   251.74
MN2361,   215.15
MN2642,   257.33
MN2520,   273.44
MN2485,   205.54
MN3497,   242.75
MN2207,   246.50
MN2845,   198.10
MN3218,   281.37
MN3184,   231.26
MN3341,   207.17
MN2770,   260.89
MN2458,   259.82
MN2733,   198.23
MN2610,   257.70
MN2333,   270.00
MN2574,   214.63
MN2970,   210.39
MN2298,   219.35
MN3068,   260.79
MN3545,   214.37
MN3425,   279.20
MN3470,   252.77
MN3154,   275.78
MN3396,   269.05
MN3594,   267.17
MN2180,   288.88
MN2425,   243.21
MN2546,   217.93
MN3319,   285.97
MN2666,   196.10
MN2820,   187.53
MN3035,   282.24
MN3116,   161.03
MN2944,   280.77
MN3281,   227.82
MN2909,   228.51
MN2393,   250.46
MN2270,   272.19
