agentID, delayTime
MN2316,   147.75
MN2754,   142.75
MN2379,   136.86
MN2477,   152.44
MN2499,   112.23
MN2895,   116.21
MN3509,   126.64
MN2991,   144.82
MN3201,   126.47
MN2839,   139.60
MN3268,   126.89
MN2538,   138.34
MN2659,   127.99
MN3404,   111.52
MN3170,   122.36
MN3051,   126.66
MN3330,   103.83
MN3133,   112.60
MN3298,   137.90
MN2349,   139.30
MN2623,   116.90
MN2787,   138.21
MN2961,   129.27
MN2564,   126.55
MN2222,   143.68
MN2288,   136.98
MN2684,   133.73
MN2860,   108.54
MN2441,   134.93
MN3354,   116.59
MN3453,   112.00
MN3113,   141.98
MN3015,   136.35
MN3236,   128.36
MN2408,   123.40
MN2727,   129.50
MN2925,   127.44
MN3535,   132.67
MN3558,   134.17
MN3438,   146.87
MN3083,   139.73
MN3580,   141.29
MN3383,   155.81
MN3484,   133.67
MN2809,   116.92
MN2253,   143.13
MN2196,   156.79
MN2592,   129.92
