agentID, delayTime
MN1388,   127.30
MN1266,   129.67
MN2595,   124.22
MN0616,   124.30
MN2915,   124.68
MN1946,   118.98
MN3204,   125.79
MN1702,   123.42
MN1823,   119.85
MN2119,   125.05
MN3452,   123.08
MN2242,   127.06
MN2483,   127.73
MN0060,   123.54
MN2129,   128.75
MN0985,   127.96
MN0740,   123.03
MN0861,   119.28
MN1037,   119.90
MN2368,   123.00
MN2003,   124.91
MN0186,   128.69
MN3574,   127.13
MN3333,   132.20
MN1958,   124.33
MN1835,   124.31
MN2802,   128.43
MN1712,   123.93
MN3221,   124.58
MN3584,   119.51
MN2495,   126.07
MN1284,   123.96
MN1160,   126.75
MN0952,   128.69
MN1248,   128.76
MN2337,   127.89
MN1125,   124.30
MN1003,   123.82
MN2213,   122.29
MN3300,   120.24
MN1925,   123.20
MN1803,   125.15
MN3546,   129.14
MN3426,   124.04
MN1494,   119.98
MN1371,   123.25
MN2580,   126.17
MN2228,   123.49
MN3318,   122.23
MN2106,   126.92
MN0045,   126.05
MN0288,   125.85
MN0164,   123.04
MN2464,   129.14
MN0724,   126.43
MN0845,   121.44
MN1935,   123.14
MN0967,   125.64
MN1813,   122.93
MN3436,   128.01
MN3557,   123.07
MN1021,   124.57
MN1141,   125.36
MN2350,   118.95
MN2676,   126.82
MN0133,   126.54
MN2432,   123.02
MN0373,   123.10
MN0011,   129.24
MN0253,   122.00
MN0495,   128.50
MN1583,   124.68
MN0933,   129.90
MN2319,   126.01
MN1900,   120.56
MN0811,   126.18
MN2561,   127.84
MN3091,   128.27
MN2448,   127.26
MN1478,   129.16
MN1599,   123.06
MN0026,   125.36
MN2201,   126.27
MN1232,   120.31
MN1353,   125.45
MN1110,   128.63
MN3530,   124.97
MN0704,   124.89
MN3412,   124.69
MN1913,   124.08
MN0829,   125.63
MN0151,   124.81
MN0272,   124.20
MN0393,   126.24
MN2690,   122.56
MN0115,   127.13
MN0236,   125.72
MN0599,   123.52
MN0476,   124.42
MN0356,   123.58
MN2896,   128.17
MN1685,   124.93
MN1321,   127.49
MN1563,   127.73
MN2531,   124.59
MN1441,   121.23
MN2771,   121.44
MN0915,   127.36
MN3189,   124.24
MN2416,   127.51
MN2658,   119.75
MN3504,   125.95
MN3076,   124.97
MN1458,   124.32
MN1336,   124.79
MN2304,   125.89
MN1214,   125.08
MN3518,   123.40
MN2543,   125.21
MN2785,   124.69
MN1424,   128.84
MN2513,   123.86
MN1302,   122.69
MN2995,   128.56
MN2752,   121.36
MN0218,   125.99
MN0338,   124.76
MN1547,   128.08
MN1789,   126.64
MN3172,   126.10
MN1670,   126.25
MN0460,   122.05
MN0581,   121.54
MN2085,   125.83
MN2643,   122.03
MN2885,   125.28
MN2400,   123.10
MN3059,   127.48
MN2094,   124.73
MN2611,   125.15
MN0791,   125.50
MN1880,   122.98
MN1529,   125.97
MN1407,   125.37
MN3028,   122.30
MN2737,   124.88
MN1768,   122.70
MN3271,   126.18
MN2187,   121.08
MN2060,   129.32
MN2866,   123.69
MN0567,   127.10
MN0322,   117.93
MN0443,   124.90
MN0685,   126.54
MN0202,   122.86
MN1650,   126.88
MN2981,   129.27
MN1891,   125.11
MN3398,   120.24
MN3158,   118.94
MN2628,   126.35
MN1778,   124.86
MN3286,   130.53
MN3045,   122.09
MN2073,   129.54
MN0652,   127.87
MN0774,   125.96
MN2038,   122.55
MN1981,   128.96
MN0098,   129.34
MN3126,   123.89
MN1869,   123.26
MN0898,   128.21
MN1746,   123.07
MN2834,   123.29
MN3491,   126.98
MN3372,   123.41
MN3252,   125.52
MN3011,   126.19
MN2165,   123.28
MN1072,   122.71
MN0424,   125.04
MN1632,   125.64
MN2721,   126.23
MN2963,   124.75
MN1510,   124.52
MN2049,   125.25
MN1992,   127.96
MN1198,   124.92
MN2287,   118.93
MN2849,   124.65
MN0306,   124.85
MN0548,   128.07
MN1758,   124.62
MN0668,   121.95
MN3141,   126.10
MN3385,   124.37
MN1087,   129.46
MN2174,   120.78
MN3109,   120.63
MN0512,   124.27
MN0078,   122.88
MN2015,   124.20
MN2257,   123.35
MN3465,   119.28
MN2817,   123.06
MN0757,   124.19
MN3347,   119.35
MN0879,   125.95
MN1846,   125.34
MN0634,   129.90
MN1723,   125.53
MN2933,   127.59
MN2384,   123.80
MN2141,   123.87
MN1179,   130.73
MN1970,   123.41
MN2025,   124.14
MN1055,   127.46
MN0409,   125.19
MN2707,   124.33
MN0529,   126.95
MN1617,   120.19
MN2948,   125.23
MN3479,   122.55
MN3238,   122.07
MN3359,   122.75
MN1735,   123.50
MN1855,   126.68
MN2151,   128.18
MN2271,   131.86
