agentID, delayTime
MN2532,    55.58
MN2311,    53.89
MN2355,    53.24
MN2399,    55.11
MN2573,    52.62
MN3101,    52.97
MN2618,    54.39
MN3467,    52.77
MN3500,    52.80
MN2837,    57.01
MN3393,    53.50
MN3010,    57.30
MN3054,    51.96
MN3275,    54.62
MN3232,    53.13
MN2660,    49.44
MN3191,    57.87
MN2789,    51.58
MN2965,    50.64
MN3538,    52.47
MN2269,    57.36
MN2489,    53.67
MN2443,    50.13
MN2881,    51.17
MN3431,    55.26
MN3576,    54.27
MN2705,    51.00
MN3358,    52.60
MN2748,    54.49
MN2924,    50.52
MN3144,    52.27
MN3320,    52.22
