agentID, delayTime
MN0731,    73.23
MN0618,    72.99
MN1708,    77.24
MN1949,    68.44
MN1825,    71.20
MN1703,    74.49
MN2912,    70.97
MN0855,    75.26
MN0976,    70.83
MN1943,    75.44
MN2919,    75.57
MN0743,    78.03
MN0628,    83.89
MN1716,    68.36
MN1957,    64.19
MN2804,    66.18
MN0865,    71.70
MN0986,    73.92
MN0503,    70.55
MN1833,    65.49
MN1807,    73.92
MN0835,    78.90
MN0956,    72.26
MN1923,    73.89
MN1801,    75.42
MN1931,    70.05
MN0842,    64.99
MN0607,    69.17
MN1936,    74.68
MN1814,    72.61
MN0722,    75.12
MN2901,    73.64
MN0965,    74.96
MN1819,    74.11
MN1904,    71.64
MN0936,    74.63
MN0812,    70.60
MN1909,    69.16
MN0947,    73.45
MN0824,    72.14
MN0700,    66.01
MN1919,    65.03
MN0709,    77.70
MN3072,    75.98
MN3193,    77.04
MN0917,    74.70
MN0803,    67.80
MN0924,    73.30
MN3087,    76.27
MN3080,    69.76
MN3167,    71.19
MN3288,    78.01
MN3052,    75.15
MN3173,    75.40
MN3297,    68.38
MN2088,    71.35
MN2082,    80.13
MN0904,    70.00
MN3060,    66.99
MN3185,    72.48
MN2093,    68.62
MN2057,    70.00
MN3024,    79.82
MN3147,    72.81
MN3269,    73.31
MN3391,    73.50
MN3034,    79.15
MN2185,    71.29
MN2061,    66.18
MN1092,    78.83
MN2068,    69.40
MN3156,    74.66
MN3279,    82.92
MN2190,    74.39
MN3044,    72.40
MN2197,    72.01
MN2075,    71.15
MN2037,    73.56
MN2156,    77.81
MN2276,    74.95
MN2397,    71.95
MN3367,    73.58
MN3005,    71.60
MN3248,    72.88
MN3128,    64.73
MN3494,    78.49
MN1196,    75.11
MN2042,    74.62
MN2162,    81.27
MN1071,    69.75
MN2280,    69.85
MN3013,    76.74
MN3135,    73.66
MN3257,    71.54
MN3499,    73.45
MN3379,    78.92
MN3384,    69.54
MN2175,    77.34
MN1082,    76.58
MN2050,    72.16
MN2292,    71.61
MN2170,    71.36
MN2017,    67.44
MN2258,    75.30
MN2135,    72.90
MN2377,    72.89
MN2498,    78.46
MN0197,    68.92
MN1166,    78.85
MN3102,    68.93
MN3223,    73.64
MN3344,    80.01
MN3588,    72.62
MN3108,    70.20
