agentID, delayTime
MN2437,   310.68
MN0259,   298.71
MN0897,   314.02
MN1940,   311.72
MN3408,   312.05
MN2158,   298.02
MN0299,   293.58
MN2553,   289.42
MN0131,   307.15
MN2474,   315.47
MN3442,   306.78
MN0938,   294.88
MN1749,   302.23
MN0978,   289.14
MN1109,   330.92
MN0216,   328.08
MN0854,   314.08
MN2515,   305.35
MN2285,   290.13
MN2362,   315.67
MN1195,   323.50
MN1150,   304.24
MN1315,   280.11
MN3539,   304.54
MN1236,   281.27
MN1830,   311.59
MN2127,   270.38
MN0386,   312.53
MN1993,   299.79
MN0343,   309.95
MN2047,   325.10
MN1275,   297.53
MN2320,   264.90
MN3377,   313.09
MN3575,   317.11
MN0429,   308.98
MN1910,   300.10
MN3062,   301.54
MN3186,   296.04
MN3342,   301.05
MN0470,   309.44
MN1362,   318.95
MN2250,   304.66
MN1524,   278.24
MN2019,   278.88
MN1721,   326.85
MN3506,   292.65
MN1566,   299.06
MN2215,   324.90
MN1400,   292.39
MN2775,   297.96
MN1641,   257.55
MN1883,   289.30
MN1442,   299.37
MN1484,   303.06
MN2819,   327.27
MN3266,   316.37
MN3025,   304.50
MN1607,   300.59
MN0518,   327.96
MN2739,   305.26
MN3226,   308.40
MN1802,   289.60
MN3106,   331.43
MN3305,   310.43
MN1965,   278.78
MN3150,   319.20
MN1690,   326.39
MN2184,   284.23
MN2624,   272.51
MN0644,   293.17
MN2700,   289.07
MN1775,   302.37
MN0048,   330.43
MN0686,   311.43
MN1015,   273.55
MN1059,   323.64
MN2588,   283.02
MN2863,   335.52
MN2103,   336.10
MN0087,   290.42
MN0560,   306.44
MN2661,   293.03
MN0728,   288.45
MN3476,   320.46
MN2904,   316.09
MN0603,   311.01
MN0768,   287.40
MN2947,   335.41
MN1856,   317.70
MN2988,   306.13
MN0809,   291.94
MN0173,   301.27
MN2396,   265.41
MN2074,   278.07
