agentID, delayTime
MN2756,    56.98
MN2932,    56.22
MN2798,    55.81
MN3507,    56.91
MN2972,    54.99
MN2277,    54.11
MN3104,    53.79
MN3544,    55.62
MN3325,    54.59
MN2714,    58.43
MN2317,    54.45
MN2537,    55.83
MN3152,    56.67
MN3197,    53.82
MN2582,    54.75
MN2844,    56.72
MN2887,    56.06
MN2365,    53.94
MN3475,    54.56
MN3399,    55.19
MN3434,    56.31
MN2407,    55.79
MN3019,    58.37
MN2449,    55.14
MN2625,    54.64
MN2669,    54.86
MN3061,    58.09
MN3282,    54.86
MN3581,    56.12
MN3242,    56.15
MN3364,    54.95
MN2494,    58.91
