agentID, delayTime
MN2612,    52.68
MN2479,    54.02
MN2655,    55.31
MN2699,    55.03
MN2875,    54.21
MN2917,    54.74
MN3048,    54.59
MN3006,    52.45
MN3424,    55.26
MN3227,    53.90
MN2438,    54.65
MN3270,    50.01
MN3570,    55.39
MN3353,    53.59
MN2260,    55.08
MN2305,    52.46
MN2347,    60.41
MN2522,    49.12
MN2566,    50.64
MN2742,    52.49
MN2784,    54.40
MN2960,    49.37
MN3311,    49.04
MN3498,    54.07
MN3531,    51.67
MN2828,    53.50
MN3137,    53.32
MN3458,    53.12
MN3182,    54.99
MN3088,    52.90
MN3386,    52.10
MN2390,    52.44
