agentID, delayTime
MN2877,    31.67
MN2512,    31.70
MN2456,    30.69
MN2797,    25.83
MN2697,    29.47
MN2575,    29.36
MN2674,    31.73
MN2850,    29.06
MN2971,    24.32
MN2233,    28.39
MN2552,    27.42
MN3145,    27.92
MN3343,    31.27
MN3004,    31.34
MN3027,    30.12
MN3247,    29.72
MN2936,    28.88
MN3127,    29.47
MN3468,    29.49
MN3547,    30.47
MN3569,    29.33
MN2636,    32.48
MN3591,    30.08
MN3395,    30.12
MN3450,    28.55
MN3099,    27.88
MN3495,    24.97
MN2206,    31.96
MN3417,    25.61
MN3517,    28.97
MN2301,    26.90
MN2422,    29.91
MN2267,    25.79
MN2366,    30.37
MN2740,    31.31
MN2906,    33.72
MN3179,    27.49
MN3212,    30.55
MN3312,    31.99
MN2826,    33.72
MN2605,    32.61
MN2328,    28.11
MN2768,    31.33
MN3280,    28.09
MN3064,    30.80
MN3363,    27.15
MN2491,    31.84
MN2391,    27.00
