agentID, delayTime
MN3308,    76.86
MN2732,    67.32
MN2631,    62.60
MN2694,    71.04
MN2793,    63.09
MN2870,    77.56
MN3542,    60.09
MN3444,    49.17
MN3565,    56.29
MN3589,    60.34
MN2418,    59.74
MN2934,    63.47
MN3206,    52.81
MN3095,    65.33
MN3392,    82.65
MN3492,    74.10
MN3176,    59.80
MN3276,    66.67
MN2263,    72.10
MN2360,    74.28
MN2547,    82.24
MN2668,    72.57
MN2326,    62.47
MN2821,    74.79
MN2202,    52.25
MN2763,    75.12
MN2388,    75.20
MN2486,    61.33
MN3058,    72.83
MN2507,    59.20
MN3413,    61.09
MN2902,    59.85
MN2968,    59.81
MN2846,    70.30
MN3338,    84.05
MN3514,    53.99
MN2603,    65.67
MN3361,    56.62
MN3022,    54.29
MN3143,    73.43
MN3001,    80.69
MN3122,    53.39
MN3243,    67.70
MN3463,    82.55
MN2297,    75.31
MN2451,    66.72
MN2230,    71.38
MN2571,    65.16
