agentID, delayTime
MN0852,    17.48
MN0611,    22.69
MN0974,    20.95
MN0850,    22.61
MN0972,    21.95
MN0739,    22.50
MN0737,    21.77
MN0858,    17.11
MN0617,    19.74
MN0859,    20.43
MN0614,    24.55
MN0856,    19.40
MN0977,    23.10
MN0733,    20.98
MN0742,    20.05
MN0984,    21.64
MN0501,    19.73
MN0864,    20.74
MN0982,    20.47
MN0620,    16.96
MN0980,    20.37
MN0508,    21.62
MN0629,    19.55
MN0627,    16.00
MN0749,    19.41
MN0504,    18.60
MN0867,    18.80
MN0988,    21.55
MN0747,    21.91
MN0623,    19.63
MN0624,    21.78
MN0745,    21.52
MN0831,    16.55
MN0836,    17.82
MN0957,    19.84
MN0716,    17.05
MN0837,    19.52
MN0955,    18.87
MN0832,    21.45
MN0712,    21.97
MN0954,    16.42
MN0719,    15.54
MN0721,    20.42
MN0963,    23.34
MN0960,    17.30
MN0840,    21.59
MN0961,    19.20
MN0729,    18.32
MN0847,    21.04
MN0606,    19.40
MN0727,    21.14
MN0966,    18.70
MN0725,    22.23
MN0843,    23.22
MN0602,    22.48
MN0609,    20.15
MN0937,    20.50
MN0817,    18.78
MN0814,    20.14
MN0934,    21.83
MN0810,    20.05
MN0931,    20.22
MN0820,    19.71
MN0941,    20.69
MN0707,    20.54
MN0828,    23.14
MN0949,    22.43
MN0825,    19.27
MN0946,    21.37
MN0705,    20.72
MN0703,    19.51
MN0942,    18.69
MN0822,    19.42
MN0708,    15.44
MN0916,    16.28
MN0910,    20.66
MN0918,    16.47
MN0805,    18.13
MN0804,    18.91
MN0925,    18.19
MN0922,    21.29
MN0802,    17.95
MN0800,    15.75
MN0921,    22.85
MN0929,    22.39
MN0903,    23.34
MN0901,    18.84
MN0908,    20.86
MN0906,    20.19
MN1088,    17.77
MN1096,    16.56
MN1094,    15.56
MN1091,    19.55
MN1189,    25.00
MN0099,    15.82
MN1066,    19.63
MN1197,    20.07
MN1075,    26.34
MN1192,    20.82
MN1070,    18.37
MN1079,    18.29
MN1078,    20.03
MN1199,    21.90
MN1085,    20.24
MN1083,    18.67
MN1081,    19.99
MN0199,    19.95
MN1289,    14.39
MN1046,    20.46
MN1167,    20.20
MN0076,    22.26
MN1044,    18.27
MN1165,    18.01
MN0085,    21.04
MN1175,    20.08
MN1296,    21.43
MN1053,    21.01
MN0083,    22.17
MN1173,    19.22
MN1293,    21.25
MN1050,    22.07
MN1171,    19.27
MN1291,    19.91
MN0080,    18.10
MN0089,    18.49
MN1058,    20.92
MN1057,    21.12
MN1178,    19.37
MN1298,    17.65
MN0096,    19.28
MN1186,    22.85
MN1064,    23.15
MN1183,    18.66
MN0093,    19.59
MN1060,    19.99
MN1181,    16.36
MN0091,    21.12
MN0179,    17.42
MN1027,    21.78
MN1148,    21.44
MN0059,    21.76
MN1026,    19.51
MN1389,    21.10
MN0298,    16.43
MN1267,    20.35
MN0057,    18.29
MN0178,    17.66
MN1387,    18.68
MN0175,    20.31
MN1023,    19.40
MN1144,    23.24
MN1265,    19.38
MN0055,    18.26
MN0185,    20.66
MN1031,    18.20
MN1152,    20.53
MN1394,    24.65
MN0061,    22.42
MN1272,    20.72
MN1271,    21.23
MN1039,    15.85
MN1159,    20.41
MN0067,    19.05
MN1036,    19.73
MN1157,    19.69
MN1399,    20.20
MN1277,    21.07
MN0065,    21.28
MN1276,    20.20
MN1397,    21.33
MN0187,    22.65
MN1033,    19.54
MN1154,    17.76
MN1285,    23.41
MN1041,    22.23
MN1283,    19.86
MN0073,    20.60
MN0194,    17.87
MN1161,    19.06
MN0070,    22.62
MN0192,    19.96
MN0190,    22.19
MN1127,    20.76
MN0036,    21.44
MN0157,    19.45
MN0399,    21.08
MN1005,    20.17
MN1247,    20.18
MN0037,    22.05
MN1004,    20.64
MN1246,    19.46
MN1367,    21.01
MN0155,    20.96
MN0397,    20.61
MN0035,    19.65
MN0277,    19.25
MN1365,    19.79
MN1486,    20.06
MN0395,    20.03
MN1364,    21.96
MN0154,    22.07
MN0275,    17.63
MN1121,    18.53
MN1242,    19.08
MN1009,    22.43
MN1129,    18.03
MN0162,    22.04
MN0283,    18.89
MN1131,    20.44
MN1373,    21.85
MN0042,    20.21
MN1251,    21.28
MN1493,    19.32
MN0160,    22.29
MN0282,    21.05
MN1370,    20.56
MN1490,    21.10
MN0280,    17.67
MN0049,    20.98
MN1139,    17.02
MN1259,    22.08
MN0168,    22.09
MN1016,    22.54
MN1379,    20.98
MN1136,    19.05
MN0166,    22.51
MN0287,    21.61
MN1014,    19.50
MN1135,    22.16
MN1256,    17.05
MN1377,    22.61
MN1498,    22.27
MN0046,    16.81
MN1011,    20.26
MN1253,    18.95
MN1495,    19.50
MN0052,    20.57
MN1384,    20.68
MN0174,    20.05
MN0295,    21.40
MN1020,    19.43
MN0292,    21.58
MN1140,    17.73
MN1261,    22.25
MN1382,    20.37
MN0293,    20.48
MN0016,    21.11
MN0137,    20.94
MN1227,    20.68
MN1589,    19.55
MN0014,    17.61
MN0498,    21.13
MN1346,    19.78
MN0136,    21.46
MN0257,    23.23
MN0378,    21.60
MN1345,    20.54
MN1466,    16.35
MN1587,    24.15
MN0254,    22.05
MN0496,    19.79
MN1102,    22.84
MN1223,    21.05
MN0376,    19.77
MN1464,    20.68
MN0010,    17.90
MN0252,    19.48
MN1100,    22.46
MN1342,    20.36
MN1584,    17.12
MN0132,    19.68
MN0374,    22.60
MN1220,    20.63
MN1462,    20.29
MN1108,    23.51
MN0019,    18.61
MN0261,    20.31
MN0020,    18.94
MN0141,    22.24
MN0383,    21.16
MN1350,    20.72
MN1471,    17.40
MN0148,    21.31
MN0269,    21.89
MN1116,    19.88
MN1237,    21.05
MN1479,    20.28
MN0025,    19.30
MN1357,    21.98
MN1114,    21.78
MN1235,    20.95
MN0144,    26.07
MN1476,    20.91
MN0024,    20.79
MN0266,    19.92
MN1111,    19.55
MN1595,    22.18
MN0264,    21.01
MN0385,    22.89
MN1231,    20.62
MN1352,    21.40
MN1473,    17.80
MN1594,    19.60
MN0029,    19.18
MN1118,    20.03
MN0030,    20.95
MN1120,    17.28
MN1483,    15.66
MN0273,    19.98
MN1240,    21.71
MN1482,    18.01
MN0391,    13.96
MN1360,    22.28
MN0150,    16.89
MN0390,    23.34
MN0357,    20.66
MN1205,    22.12
MN0116,    23.16
MN0237,    17.17
MN1325,    20.20
MN1446,    24.18
MN1688,    19.92
MN0234,    17.77
MN0355,    21.03
MN0598,    19.59
MN1202,    20.06
MN1323,    20.92
MN1444,    19.79
MN0111,    18.53
MN0595,    22.49
MN1564,    21.03
MN0233,    20.29
MN0475,    21.94
MN1684,    21.01
MN0351,    20.93
MN0472,    20.76
MN0231,    19.49
MN1440,    22.32
MN1561,    21.48
MN1208,    20.18
MN1329,    18.22
MN0359,    17.55
MN1328,    20.08
MN1449,    19.60
MN0118,    19.21
MN1569,    24.14
MN0481,    19.80
MN1692,    19.13
MN0240,    19.63
MN0361,    18.14
MN0126,    18.85
MN0248,    19.69
MN1215,    23.85
MN0366,    19.59
MN1335,    20.80
MN1456,    16.71
MN1577,    18.36
MN1698,    19.38
MN0004,    21.73
MN0488,    25.16
MN1213,    19.93
MN1576,    18.53
MN0001,    18.05
MN0122,    23.11
MN1333,    21.24
MN1454,    22.71
MN1575,    16.91
MN1696,    22.66
MN0002,    22.72
MN0123,    16.12
MN0244,    19.04
MN0365,    18.38
MN0486,    20.45
MN0241,    18.32
MN0483,    18.66
MN1210,    18.29
MN1451,    17.78
MN1572,    21.52
MN0009,    26.13
MN0007,    21.18
MN1218,    18.59
MN1339,    20.30
MN1459,    20.34
MN0492,    20.12
MN1582,    24.33
MN0130,    21.13
