agentID, delayTime
MN2118,    79.37
MN1820,    73.27
MN1147,    74.42
MN2236,    76.24
MN0056,    78.04
MN1022,    74.36
MN1264,    75.05
MN0979,    76.13
MN1705,    78.14
MN1826,    72.74
MN3324,    72.96
MN2914,    76.06
MN0615,    77.97
MN3205,    74.74
MN3568,    72.52
MN1944,    74.29
MN3448,    73.06
MN0734,    77.00
MN1032,    76.90
MN2000,    74.37
MN1273,    74.50
MN2481,    79.24
MN0181,    75.32
MN1390,    76.55
MN1711,    76.17
MN2921,    78.87
MN1952,    74.61
MN2006,    75.12
MN1158,    76.24
MN0860,    78.92
MN2124,    77.38
MN2245,    76.70
MN0066,    76.89
MN2364,    74.61
MN3332,    80.25
MN1718,    73.86
MN1959,    78.55
MN3455,    75.76
MN3577,    74.09
MN0625,    75.27
MN2803,    77.72
MN0744,    73.04
MN1834,    78.80
MN3217,    76.05
MN3340,    77.50
MN3462,    76.21
MN3583,    76.38
MN2132,    73.36
MN0075,    73.59
MN1042,    76.01
MN0193,    76.07
MN2371,    75.85
MN2492,    72.55
MN0159,    76.20
MN0830,    74.27
MN1128,    73.59
MN0710,    75.25
MN1369,    74.94
MN2578,    73.47
MN0279,    73.39
MN2335,    77.01
MN1487,    73.84
MN1001,    76.11
MN1243,    77.53
MN2211,    74.99
MN2695,    75.10
MN0033,    72.59
MN0396,    75.33
MN0838,    73.32
MN0959,    78.98
MN1806,    77.31
MN3422,    73.63
MN3543,    72.68
MN3302,    74.02
MN1924,    75.86
MN1800,    76.22
MN3430,    73.87
MN3551,    75.39
MN1010,    79.37
MN2460,    77.04
MN1138,    77.70
MN2345,    73.09
MN1497,    77.28
MN2102,    73.75
MN2586,    74.83
MN0043,    79.25
MN1254,    76.82
MN2221,    76.79
MN0849,    76.28
MN0605,    76.36
MN0968,    77.40
MN1937,    77.54
MN1815,    76.53
MN3313,    72.92
MN3435,    79.24
MN2109,    76.70
MN0723,    77.12
MN1932,    76.76
MN2229,    77.13
MN2900,    74.64
MN3559,    77.27
MN2352,    75.75
MN2471,    77.77
MN0172,    77.53
MN1380,    75.58
MN0291,    78.02
MN1106,    77.90
MN2558,    79.11
MN3527,    78.10
MN1347,    77.91
MN0256,    75.72
MN2314,    74.68
MN2677,    73.26
MN0015,    73.73
MN0499,    73.65
MN1463,    76.22
MN2431,    75.76
MN0935,    80.74
MN3522,    77.85
MN1902,    75.46
MN3403,    73.47
MN0139,    79.33
MN2439,    76.40
MN3097,    76.69
MN0819,    78.46
MN1907,    78.66
MN1593,    79.58
MN1117,    73.37
MN2569,    73.43
MN2204,    76.39
MN0268,    79.78
MN1477,    74.95
MN0023,    76.53
MN1234,    74.55
MN2323,    75.96
MN2686,    76.54
MN0384,    75.40
MN0948,    78.45
MN3534,    74.98
MN3414,    76.15
MN0701,    75.05
MN1918,    77.13
MN0152,    77.60
MN1361,    75.90
MN2450,    75.80
MN0479,    75.50
MN2656,    75.09
MN1445,    74.38
MN0235,    77.43
MN1686,    75.65
MN1201,    74.29
MN0354,    74.61
MN2410,    72.90
MN2773,    78.01
MN2530,    78.91
MN0914,    79.09
MN0119,    74.67
MN3501,    75.66
MN1327,    75.87
MN3196,    76.17
MN1570,    73.98
MN2780,    78.27
MN0489,    75.69
MN0006,    72.80
MN1699,    77.04
MN0245,    78.39
MN2423,    75.42
MN0364,    75.27
MN2664,    78.42
MN1211,    73.37
MN1453,    78.65
MN2540,    76.98
MN3079,    74.33
MN0806,    75.79
MN0923,    76.33
MN1219,    75.41
MN3513,    76.22
MN0129,    73.95
MN1338,    77.60
MN2306,    78.16
MN2548,    76.07
MN3085,    76.60
MN0372,    74.71
MN1581,    80.17
MN2791,    82.03
MN0457,    77.96
MN1786,    76.50
MN0213,    75.01
MN1422,    76.08
MN0573,    76.18
MN2510,    73.72
MN0332,    74.42
MN2751,    77.04
MN2872,    75.17
MN3047,    77.18
MN3169,    74.54
MN2519,    75.79
MN2638,    75.68
MN1306,    71.92
MN1668,    75.61
MN3295,    77.88
MN3056,    76.74
MN3177,    78.39
MN1791,    76.56
MN2084,    76.16
MN1678,    74.11
MN0468,    76.83
MN2402,    75.28
MN0224,    77.15
MN0584,    76.73
MN1432,    76.17
MN2761,    75.01
MN2882,    72.46
MN0341,    77.52
MN1550,    75.61
MN2089,    72.37
MN0902,    74.31
MN1317,    75.05
MN1559,    76.56
MN0107,    79.15
MN2647,    77.25
MN3187,    74.33
MN3067,    74.32
MN2891,    75.98
MN0592,    74.97
MN2097,    71.32
MN1645,    78.46
MN0798,    78.74
MN1765,    76.47
MN1401,    74.25
MN0312,    77.95
MN2852,    75.88
MN2730,    75.20
MN0552,    75.56
MN1882,    75.93
MN1760,    75.50
MN2056,    75.88
MN3388,    76.37
MN3148,    76.51
MN0438,    76.69
MN2979,    73.34
MN3029,    76.29
MN1526,    72.91
MN2615,    75.77
MN1888,    75.70
MN3274,    76.29
MN3397,    78.38
MN0680,    76.08
MN1095,    75.91
MN2062,    76.54
MN2182,    73.78
MN1414,    73.51
MN0204,    80.39
MN1655,    76.57
MN1896,    80.79
MN2743,    76.97
MN2500,    76.00
MN0321,    75.49
MN0563,    73.52
MN1772,    74.09
MN2069,    78.42
MN2861,    75.64
MN2188,    74.02
MN3159,    79.75
MN1539,    78.32
MN2627,    78.07
MN0447,    75.85
MN3040,    72.86
MN3284,    75.38
MN1780,    75.62
MN2077,    76.13
MN2990,    74.33
MN0691,    76.67
MN2195,    76.37
MN0776,    77.83
MN1985,    75.24
MN2832,    74.89
MN0531,    76.04
MN2951,    75.15
MN0892,    76.87
MN1861,    74.85
MN2035,    77.79
MN3365,    78.22
MN3486,    76.76
MN3245,    79.27
MN2959,    78.23
MN1506,    74.08
MN2716,    75.64
MN1868,    75.58
MN3129,    76.21
MN0415,    77.26
MN0657,    78.10
MN1624,    73.07
MN1745,    74.32
MN3009,    78.26
MN3374,    76.89
MN3496,    77.20
MN1076,    75.01
MN2041,    76.81
MN2160,    76.13
MN2281,    77.43
MN1190,    75.06
MN1875,    76.35
MN2601,    77.12
MN2722,    74.44
MN0300,    76.53
MN2842,    74.59
MN0785,    72.98
MN1994,    75.45
MN1751,    78.13
MN2048,    76.35
MN0541,    74.89
MN2167,    78.91
MN3255,    73.95
MN1519,    75.60
MN2608,    72.39
MN3136,    76.60
MN2969,    78.26
MN3018,    79.93
MN0425,    76.45
MN0667,    75.44
MN1636,    74.33
MN3382,    76.37
MN3265,    79.71
MN1084,    76.93
MN2294,    77.38
MN2172,    75.47
MN0754,    77.81
MN1842,    74.88
MN2931,    75.67
MN0872,    77.15
MN0510,    72.89
MN2137,    77.35
MN2256,    76.21
MN0990,    77.44
MN2013,    77.81
MN1286,    76.30
MN1849,    77.44
MN3225,    75.71
MN0637,    78.53
MN1604,    76.21
MN1725,    73.02
MN1966,    74.60
MN3107,    75.78
MN2812,    74.41
MN3350,    74.57
MN3593,    73.58
MN3473,    77.21
MN2264,    77.87
MN0086,    75.60
MN2021,    75.69
MN1052,    73.67
MN2382,    77.64
MN1170,    73.94
MN1733,    74.91
MN1854,    75.63
MN0520,    77.84
MN0883,    77.28
MN1973,    76.37
MN0763,    73.33
MN2027,    75.27
MN2940,    76.09
MN1297,    76.20
MN2144,    75.74
MN3235,    78.44
MN1738,    74.70
MN3115,    77.15
MN3357,    75.52
MN0647,    75.54
MN1979,    74.42
MN2704,    73.44
MN1614,    78.27
MN0404,    73.92
MN2823,    77.66
MN3481,    71.49
MN3000,    78.38
MN2275,    77.29
MN0097,    76.59
MN1063,    75.77
MN2150,    78.30
MN2392,    76.24
MN1180,    75.97
