agentID, delayTime
MN1700,    46.76
MN1942,    46.29
MN0732,    42.92
MN0971,    43.22
MN0851,    42.66
MN1707,    46.73
MN1828,    43.51
MN2916,    46.89
MN0738,    45.93
MN1947,    49.32
MN1704,    44.78
MN0857,    43.46
MN2913,    44.86
MN0975,    44.45
MN0613,    45.22
MN1822,    43.91
MN0621,    45.09
MN0863,    43.83
MN1710,    42.90
MN1831,    40.66
MN1950,    42.10
MN0981,    41.66
MN2929,    46.00
MN0509,    42.96
MN1839,    44.30
MN1717,    43.75
MN2805,    43.84
MN0746,    43.99
MN1836,    42.82
MN0626,    44.95
MN1956,    45.09
MN0502,    45.78
MN2923,    43.80
MN0987,    46.87
MN2801,    46.60
MN1920,    46.58
MN0839,    45.49
MN1926,    41.97
MN0958,    47.59
MN1804,    43.46
MN0713,    43.98
MN0953,    44.09
MN0833,    44.79
MN1921,    43.65
MN1809,    48.05
MN0720,    45.62
MN0962,    44.89
MN1930,    43.37
MN1818,    40.90
MN0608,    42.64
MN1938,    43.87
MN0726,    43.47
MN1816,    44.14
MN2905,    42.91
MN1934,    46.25
MN0601,    41.93
MN1812,    45.49
MN0844,    40.79
MN1905,    43.80
MN0815,    43.07
MN1901,    47.64
MN0932,    45.62
MN3093,    41.65
MN0939,    44.45
MN1908,    45.74
MN0706,    45.51
MN0827,    45.98
MN1914,    44.86
MN0702,    40.54
MN0945,    45.49
MN0821,    44.70
MN0913,    48.69
MN3071,    44.86
MN3192,    44.31
MN3198,    42.85
MN3078,    45.42
MN0926,    44.30
MN0801,    43.78
MN0920,    45.95
MN3086,    42.56
MN0807,    42.43
MN3081,    42.83
MN3289,    45.01
MN3049,    44.92
MN2080,    41.71
MN3171,    52.01
MN3294,    42.80
MN3053,    41.63
MN3174,    43.08
MN2087,    46.66
MN2083,    45.71
MN3057,    44.78
MN3299,    46.32
MN0900,    42.82
MN2090,    47.02
MN3066,    42.66
MN0907,    46.18
MN3188,    44.99
MN2099,    44.63
MN2095,    43.47
MN3180,    45.18
MN2059,    43.89
MN2177,    43.70
MN3146,    44.48
MN3267,    43.70
MN3026,    42.52
MN3272,    43.63
MN3031,    44.69
MN3153,    46.23
MN2066,    43.89
MN2186,    42.27
MN2064,    43.28
MN1093,    44.82
MN2181,    42.38
MN2189,    44.46
MN1099,    44.38
MN3278,    42.07
MN3038,    45.48
MN3160,    44.23
MN3283,    42.07
MN3043,    49.39
MN3164,    42.11
MN2198,    43.03
MN2076,    43.80
MN2194,    43.05
MN2070,    44.82
MN2039,    44.53
MN2159,    46.63
MN1068,    44.91
MN2036,    45.73
MN2278,    43.49
MN1188,    44.47
MN3123,    44.53
MN3244,    43.68
MN3003,    45.52
MN3249,    44.44
MN3008,    42.97
MN3130,    45.75
MN3012,    45.40
MN2043,    44.38
MN2164,    42.18
MN2283,    45.83
MN1193,    45.52
MN2161,    44.91
MN2169,    43.11
MN2046,    44.19
MN1077,    45.86
MN3134,    44.54
MN3256,    41.92
MN3259,    44.48
MN3139,    43.87
MN3020,    43.75
MN1086,    47.24
MN2053,    41.70
MN2295,    42.99
MN2051,    45.71
MN2171,    43.43
MN2291,    44.46
MN1080,    45.39
MN2139,    44.01
MN2259,    44.30
MN1048,    45.80
MN2016,    42.59
MN1168,    44.68
MN2136,    46.19
MN2376,    41.90
MN2497,    45.67
MN0077,    43.52
MN2133,    43.56
MN3222,    46.10
MN3103,    46.53
MN3228,    47.04
MN3110,    43.62
MN3231,    44.43
MN2143,    46.48
MN1174,    45.51
MN1295,    46.51
MN2020,    42.43
MN2262,    40.77
MN2383,    48.59
MN0084,    48.15
MN1290,    43.33
MN2149,    43.31
MN2026,    43.71
MN2147,    43.46
MN2268,    46.54
MN2389,    44.40
MN1299,    48.78
MN1056,    45.56
MN2023,    45.14
MN3114,    46.05
MN3240,    44.50
MN2032,    41.74
MN2274,    43.42
MN2395,    40.52
MN0095,    42.25
MN1062,    45.10
MN1182,    46.62
MN0090,    43.02
MN3329,    44.92
MN2359,    44.48
MN0058,    44.32
MN1269,    46.60
MN2116,    44.70
MN2235,    41.61
MN1024,    42.92
MN2597,    44.18
MN0054,    45.42
MN1386,    41.09
MN0176,    44.23
MN2232,    43.96
MN2353,    44.02
MN3323,    45.32
MN3203,    44.79
MN1274,    44.96
MN0064,    44.67
MN2120,    43.50
MN2241,    43.25
MN1030,    45.42
MN1151,    46.20
MN2482,    44.53
MN0183,    43.18
MN1391,    45.79
MN2007,    45.17
MN1038,    45.35
MN2126,    42.17
MN2246,    45.10
MN2367,    46.69
MN2488,    44.84
MN0189,    44.28
MN1156,    41.18
MN1398,    45.14
MN2002,    45.03
MN2122,    44.69
MN3211,    46.35
MN3334,    43.70
MN3216,    45.26
MN3100,    41.36
MN0195,    45.07
MN1043,    43.70
MN2011,    41.11
MN1162,    46.26
MN2251,    44.05
MN2493,    44.34
MN1281,    44.58
MN2370,    44.23
MN0071,    45.00
MN0038,    44.54
MN1007,    44.45
MN2338,    47.03
MN2579,    42.30
MN1126,    44.56
MN1368,    46.25
MN2457,    45.00
MN0158,    46.68
MN2698,    47.13
MN0034,    43.20
MN0276,    44.89
MN0398,    42.95
MN1244,    43.47
MN2212,    46.31
MN2454,    41.98
MN0153,    45.88
MN1485,    45.83
MN1000,    43.65
MN1363,    43.13
MN2210,    41.42
MN3303,    40.47
MN2218,    45.91
MN0163,    46.16
MN1130,    44.18
MN0281,    45.10
MN1250,    47.89
MN1492,    43.14
MN1017,    44.54
MN2227,    42.59
MN2469,    44.91
MN0047,    42.69
MN1137,    44.99
MN1257,    44.12
MN1499,    44.04
MN2104,    43.17
MN2346,    45.14
MN2224,    44.12
MN2587,    41.19
MN1013,    43.19
MN1375,    46.44
MN2343,    44.79
MN0286,    45.85
MN2463,    43.27
MN2584,    41.46
MN3310,    43.68
MN2108,    45.06
MN3317,    45.22
MN0294,    46.56
MN1142,    42.14
MN2110,    42.47
MN2473,    43.52
MN1262,    42.66
MN1381,    42.73
MN0170,    45.94
MN2679,    43.67
MN0017,    43.32
MN0138,    43.04
MN1105,    43.11
MN2436,    49.66
MN1224,    43.00
