agentID, delayTime
MN2855,    88.48
MN3208,    88.48
MN3407,    88.48
MN2897,    88.48
MN3445,    88.48
MN2637,    88.48
MN3293,    88.48
MN3590,    88.48
MN3030,    88.48
MN3074,    88.48
MN3251,    88.48
MN3373,    88.48
MN2286,    88.48
MN2461,    88.48
MN2680,    88.48
MN2723,    88.48
MN2766,    88.48
MN2942,    88.48
MN2984,    88.48
MN3519,    88.48
MN2420,    88.48
MN3552,    88.48
MN2807,    88.48
MN3336,    88.48
MN2329,    88.48
MN2505,    88.48
MN2549,    88.48
MN3118,    88.48
MN3163,    88.48
MN3482,    88.48
MN2374,    88.48
MN2591,    88.48
