agentID, delayTime
MN1821,   108.06
MN0730,   105.79
MN2115,   112.75
MN1025,    95.26
MN1145,   103.28
MN2234,   106.87
MN2354,   101.97
MN2596,   111.15
MN0619,   102.51
MN3322,    94.30
MN3564,    84.62
MN1701,    90.43
MN0063,    98.08
MN0184,   102.89
MN1392,   113.16
MN2480,   103.11
MN0500,    99.30
MN1832,    89.09
MN2249,    99.05
MN2920,    83.58
MN1951,    95.06
MN0983,    96.67
MN1279,   124.89
MN2123,    88.08
MN2001,   102.92
MN3215,   124.74
MN3457,    95.22
MN0868,   106.13
MN1714,    81.65
MN3339,   112.10
MN3582,   110.53
MN1164,    85.22
MN2372,    96.84
MN0039,    91.70
MN1006,   103.87
MN3429,   106.50
MN1488,    89.59
MN2577,   110.07
MN1123,    95.33
MN3301,    93.83
MN0711,   109.14
MN1922,    90.15
MN2219,   105.44
MN2339,   102.42
MN3550,    80.04
MN1808,   103.21
MN0284,   106.03
MN1372,   111.41
MN0161,   103.73
MN3439,    78.70
MN1258,    95.28
MN2465,   105.26
MN2101,    98.82
MN1939,   115.11
MN2907,   110.92
MN0848,   104.06
MN0964,   108.10
MN1468,   100.93
MN1104,   109.67
MN2554,    80.06
MN1222,   109.08
MN1585,    96.71
MN3520,    88.85
MN3401,   114.13
MN0140,    99.24
MN0382,   104.45
MN1351,    95.97
MN2205,   109.61
MN0265,   113.14
MN2444,    96.03
MN2321,   108.41
MN2683,   104.46
MN1915,   121.73
MN0826,    75.58
MN3415,   101.44
MN3536,   114.74
MN0943,    86.27
MN1241,   115.88
MN1568,    94.09
MN2536,   106.35
MN1204,    94.30
MN2776,   101.77
MN2412,   109.87
MN0593,    87.58
MN1682,    90.53
MN3069,    96.34
MN3502,    99.73
MN3195,    96.13
MN1450,    92.09
MN0480,    88.16
MN2667,   112.09
MN0124,   113.14
MN1332,    88.43
MN0362,    94.76
MN0242,    97.59
MN2307,   130.02
MN2427,    96.85
MN3084,    99.40
MN0928,   106.31
MN0808,    94.73
MN2792,    90.96
MN0577,    91.84
MN1544,    71.39
MN1665,   107.16
MN0694,   103.92
MN2994,    96.81
MN1781,   105.20
MN2078,   126.17
MN1429,    99.04
MN2518,   103.94
MN2758,   106.31
MN3050,    89.08
MN2086,    72.04
MN0346,   105.74
MN0102,   101.00
MN2886,   111.47
MN0221,    78.33
MN0461,    85.33
MN1792,    89.11
MN0905,   103.03
MN1318,   115.60
MN2649,   111.38
MN3181,   128.31
MN0676,   117.16
MN1644,   100.84
MN1089,   130.98
MN3387,   123.58
MN1769,   118.73
MN1889,   122.96
MN2977,   111.41
MN3032,    93.91
MN2065,    88.59
MN0444,   105.52
MN1410,    96.71
MN2741,   116.26
MN1530,   104.69
MN0561,   109.53
MN2629,    94.64
MN0205,   101.05
MN2868,   103.36
MN0327,   111.88
MN1899,    89.89
MN3162,   113.25
MN3287,   120.22
MN2191,   110.11
MN0654,   106.02
MN2830,   107.91
MN0771,   122.18
MN1740,   103.40
MN1187,   113.19
MN2719,   106.23
MN3487,   102.74
MN3125,   106.45
MN3246,    97.45
MN0419,    92.76
MN3369,    83.28
MN2957,    98.75
MN1625,   106.80
MN1987,    92.93
MN2040,   108.27
MN2282,    91.18
MN0786,    90.20
MN0303,    89.80
MN0542,   118.78
MN1511,   117.53
MN1753,   104.21
MN1872,   108.14
MN2166,   119.77
MN2609,    88.65
MN3014,   108.56
MN2848,   104.98
MN3140,    83.71
MN3264,    84.83
MN2176,    88.77
MN2054,   128.38
MN1964,    91.94
MN0751,   119.82
MN2138,   102.17
MN1047,    95.49
MN2014,   103.71
MN2496,    89.48
MN1608,   116.10
MN0638,   107.43
MN1727,    87.88
MN2937,    90.30
MN2815,   113.45
MN3105,   105.41
MN1845,    96.12
MN3230,   105.01
MN3474,    90.82
MN1294,    80.60
MN0081,    78.00
MN0523,   114.62
MN0400,   108.56
MN2024,    90.63
MN2266,    92.59
MN3355,   102.17
MN1859,   101.34
MN0888,   114.27
MN1976,   108.42
MN2702,    96.53
MN1065,    97.75
MN2152,   119.44
MN2394,   106.11
