agentID, delayTime
MN0973,   148.32
MN2910,   139.00
MN0853,   141.33
MN1941,   147.19
MN2117,   136.58
MN2238,   146.15
MN3200,   129.44
MN1706,   148.14
MN0736,   136.40
MN1824,   146.90
MN3447,   130.83
MN3328,   145.88
MN3572,   141.46
MN1153,   142.98
MN2363,   151.71
MN2800,   144.19
MN3219,   156.73
MN0622,   130.96
MN0069,   144.57
MN2005,   149.84
MN1035,   165.84
MN2487,   147.17
MN1396,   137.42
MN1719,   146.84
MN2928,   133.51
MN0507,   140.56
MN1837,   140.05
MN1954,   136.75
MN3460,   145.22
MN2130,   151.72
MN1282,   136.46
MN0191,   153.60
MN0951,   135.82
MN3309,   145.57
MN1245,   131.92
MN2453,   144.71
MN0717,   134.66
MN3541,   153.14
MN3421,   136.53
MN0834,   134.49
MN1929,   148.75
MN2581,   134.03
MN2105,   129.52
MN1378,   140.74
MN2466,   121.97
MN0167,   151.80
MN2223,   139.11
MN1012,   150.41
MN1496,   150.77
MN1132,   151.76
MN2342,   136.68
MN3433,   127.06
MN3554,   138.20
MN0604,   147.47
MN1811,   143.75
MN1263,   137.16
MN0050,   153.00
MN0290,   133.91
MN0930,   135.49
MN1226,   118.98
MN2433,   134.49
MN2672,   130.45
MN0816,   130.49
MN1903,   136.39
MN3402,   125.28
MN3524,   138.67
MN1591,   149.22
MN3090,   146.06
MN0027,   129.83
MN1359,   131.23
MN0149,   156.98
MN2688,   146.98
MN2324,   135.43
MN0387,   136.01
MN1112,   139.33
MN1475,   134.14
MN2563,   157.75
MN1917,   129.60
MN2209,   133.84
MN0271,   145.70
MN2415,   138.18
MN2653,   146.84
MN0230,   131.92
MN1320,   127.51
MN2893,   148.55
MN0911,   147.22
MN1209,   122.06
MN2779,   142.25
MN3073,   136.52
MN1571,   123.33
MN1691,   138.52
MN0127,   132.73
MN0487,   148.65
MN0367,   128.71
MN1455,   129.95
MN2541,   145.22
MN3511,   149.05
MN2308,   141.27
MN0250,   145.48
MN1340,   144.85
MN0698,   137.22
MN2633,   135.49
MN1301,   137.85
MN1785,   161.26
MN2874,   149.48
MN0210,   154.72
MN0450,   142.72
MN2079,   126.19
MN3291,   142.17
MN3055,   143.83
MN1555,   138.21
MN1797,   143.96
MN2523,   144.28
MN0466,   134.72
MN2762,   148.55
MN0582,   132.14
MN1672,   149.50
MN0106,   140.59
MN0348,   135.26
MN1437,   145.17
MN2091,   146.74
MN3183,   139.77
MN2854,   131.23
MN0311,   151.15
MN0796,   143.94
MN2178,   123.50
MN1649,   142.48
MN3149,   140.43
MN2616,   153.68
MN0678,   123.58
MN1090,   131.47
MN3390,   138.85
MN3273,   150.52
MN2745,   145.72
MN1534,   139.65
MN0565,   135.51
MN2983,   157.21
MN1892,   145.60
MN1770,   148.55
MN2067,   129.59
MN3039,   142.94
MN0329,   150.35
MN1416,   144.47
MN2504,   147.84
MN3166,   131.68
MN2192,   132.16
MN0775,   142.26
MN1744,   149.69
MN1865,   149.35
MN2157,   138.14
MN2398,   137.61
MN0891,   139.29
MN3002,   139.79
MN2838,   145.77
MN3493,   158.15
MN3131,   140.12
MN3253,   139.48
MN2044,   143.15
MN1074,   132.36
MN1191,   142.20
MN0545,   134.43
MN2964,   141.53
MN2600,   129.39
MN1630,   138.77
MN2168,   141.31
MN1991,   136.99
MN0660,   138.12
MN3378,   146.09
MN1759,   139.26
MN3017,   136.05
MN0428,   150.69
MN1516,   142.98
MN1878,   159.02
MN2725,   156.94
MN2055,   129.22
MN2290,   123.59
MN0874,   146.83
MN2018,   127.54
MN0993,   147.36
MN2255,   140.94
MN3586,   153.83
MN3345,   140.57
MN2816,   130.93
MN1967,   130.00
MN0755,   143.53
MN3111,   141.82
MN1054,   135.57
MN2142,   134.95
MN1172,   139.84
MN2380,   144.24
MN1611,   135.72
MN1731,   137.82
MN0642,   139.54
MN1850,   149.63
MN0088,   135.54
MN3234,   125.62
MN3477,   136.73
MN0408,   151.72
MN2706,   132.94
MN0526,   146.74
MN1978,   136.74
MN2946,   143.13
MN3362,   156.39
MN2031,   150.41
MN2272,   143.39
